Order	Coral_Species	Phylotype
238	Acropora cytherea	C3.2
239	Acropora cytherea	C3.2
240	Acropora cytherea	C3.7
241	Acropora cytherea	C3.8
242	Acropora cytherea	C3.8
243	Acropora cytherea	C3.8
244	Acropora cytherea	C3.9
245	Acropora cytherea	C3.9
246	Acropora cytherea	C3b
247	Acropora cytherea	C3z
248	Acropora cytherea	D1
249	Acropora cytherea	D1
250	Acropora cytherea	D1.10
251	Acropora cytherea	D1.8
252	Acropora cytherea	D1-4
253	Acropora cytherea	D1-4
254	Acropora digitifera	C1
255	Acropora digitifera	C1
256	Acropora digitifera	C1
257	Acropora digitifera	C1
258	Acropora digitifera	C1
259	Acropora digitifera	C1
260	Acropora digitifera	C1
261	Acropora digitifera	C1
262	Acropora digitifera	C1
263	Acropora digitifera	C1.1
264	Acropora digitifera	C1.15
265	Acropora digitifera	C21.12
266	Acropora digitifera	C21.12
267	Acropora digitifera	C3
268	Acropora digitifera	C3
269	Acropora digitifera	C3
270	Acropora digitifera	C3
271	Acropora digitifera	C3
272	Acropora digitifera	C3
273	Acropora digitifera	C3
274	Acropora digitifera	C3
275	Acropora digitifera	C3
276	Acropora digitifera	C3.18
277	Acropora digitifera	C3.20
278	Acropora digitifera	C3.20
279	Acropora digitifera	C3.21
280	Acropora digitifera	C3.23
281	Acropora digitifera	C3.23
282	Acropora digitifera	C3.24
283	Acropora digitifera	C3.24
284	Acropora digitifera	C3.24
285	Acropora digitifera	C3b
286	Acropora digitifera	C3b
287	Acropora digitifera	C3i
288	Acropora digitifera	C3i
289	Acropora digitifera	C3k
290	Acropora digitifera	C3u
291	Acropora digitifera	C3u
292	Acropora digitifera	D1
293	Acropora digitifera	D1
294	Acropora digitifera	D1-4
295	Acropora digitifera	D1-4
296	Acropora divaricata	C1
297	Acropora divaricata	C1
298	Acropora divaricata	C1
299	Acropora divaricata	C101
300	Acropora divaricata	C101
301	Acropora divaricata	C101
302	Acropora divaricata	C3
303	Acropora divaricata	C3
304	Acropora divaricata	C3
305	Acropora divaricata	C3
306	Acropora divaricata	C3k
307	Acropora elseyi	C3
308	Acropora elseyi	C3
309	Acropora elseyi	C3
310	Acropora elseyi	C3
311	Acropora elseyi	C3
312	Acropora elseyi	C3
313	Acropora elseyi	C3
314	Acropora elseyi	C3
315	Acropora elseyi	C3
316	Acropora elseyi	C3z
317	Acropora florida	C1
318	Acropora florida	C1
319	Acropora florida	C101
320	Acropora florida	C101
321	Acropora florida	C101
322	Acropora florida	C3
323	Acropora florida	C3
324	Acropora florida	C3i
325	Acropora florida	C3i
326	Acropora florida	C3i
327	Acropora florida	C3i
328	Acropora florida	C3k
329	Acropora florida	C3k
330	Acropora florida	C3z
331	Acropora gemmifera	C109b
332	Acropora gemmifera	C109b
333	Acropora gemmifera	C3
334	Acropora gemmifera	C3
335	Acropora gemmifera	C3
336	Acropora gemmifera	C3
337	Acropora gemmifera	C3
338	Acropora gemmifera	C3
339	Acropora gemmifera	C3i
340	Acropora gemmifera	C3i
341	Acropora gemmifera	C3i
342	Acropora gemmifera	C3i
343	Acropora gemmifera	C3i
344	Acropora gemmifera	C3u
345	Acropora gemmifera	C3u
346	Acropora gemmifera	C3u
347	Acropora gemmifera	C3u
348	Acropora gemmifera	C3u
349	Acropora gemmifera	C3u
350	Acropora gemmifera	C3z
351	Acropora gemmifera	C3z
352	Acropora gemmifera	C3z
353	Acropora glauca	C3
354	Acropora glauca	C3
